Tweet	Task A 	Task B	Task C
@DanielCollins85 @Muscles4851 @BeattieDoug @ColmDore Doug is a fence jumper looking for relevance. If or when a war crimes tribunal (doubtful) is set up to look into Afghanistan or Iraq Dougy will not be so outspoken. His book will be used as evidence against him. #Murderer.	HOF	HATE	TIN
#TrumpIsNotTheMessiah #TrumpIsACriminal #TrumpIsANationalSecurityThreat #TrumpIsAFraud #TrumpIsATraitor #TrumpIsAMoron The Belief That Trump Is a Messiah Is Rampant and Dangerous | Psychology Today https://t.co/teXC8y1agk	HOF	HATE	TIN
#BorisJohnson isn't daft- he wasn't on #C4Debate and he didn't attend the Q&amp;A because no-one involved in either of those has any say in the vote... He thinks he's already won #BorisJohnsonShouldNotBePM https://t.co/HOGq9wz56I	HOF	HATE	TIN
Central to the RSS/ BJP fascist ideology, is that Dalits & Adivasis must continue to exist at the bottom rung of society.   In this disturbing video, the dangers of this mindset and how it’s openly propagated by senior RSS/ BJP leaders is revealed.   #AnswerMaadiModi	HOF	HATE	TIN
In most cases over recent years it has involved unwillingness to pay fees &amp; dissatisfaction over the outcome of a medical case - similar problems have been on the rise in many countries as public hospitals struggle to cope with ageing &amp; more complex patients... #DoctorsFightBack https://t.co/XBAVZyp7o5	NOT	NONE	NONE
Thank you @nedprice for doing what @kwelkernbc didn't!! @msnbc keep that hag Conway OFF THE AIR!! #VOTEBLUE2020 #Resist #Resistance #TheResistance #FuckTrump #DoYourJobMitch #DitchMitch #VoteBlueNoMatterWho #VoteBlueToSaveAmerica #FlipTheSenate #TraitorTrump https://t.co/6TS44b1QQG	NOT	NONE	NONE
Do u support him for his action? Is this right or wrong? Comment below👇👇👇 #DhoniKeepTheGlove #DhoniKeepTheGloves #Dhoni #DhoniKeepsTheGlove #dhonigloves #DhoniVsICC #DhoniKeepBalidaanBadgeGlove #mahendrasinghdhoni #WorldCup2019 #WC2019WithTimes https://t.co/jjzYZPa045	NOT	NONE	NONE
More evidence piles in. Happy #JohnMcCainDay #TrumpIsATraitor #TrumpCrimeFamily #Oreo #DitchMitch2020 #arrestBARR #Vets https://t.co/1R3hhH3mxW	NOT	NONE	NONE
AIIMS New Delhi @AIIMSRDA issued an ultimatum of 48 hours to #WestBengal  govt. to meet the demands of the striking doctors there, failing which they would be forced to resort to an indefinite strike in AIIMS New Delhi.     #DoctorsFightBack https://t.co/n5wC2OhT2T	NOT	NONE	NONE
Which included Syed Ali Shah Gilani, Chairman, All Parties Hurriyat Conference. Masarat Alam also revealed that there are rifts in the Hurriyat Conference regarding collection and use of funds.” #terroristNationPakistan	NOT	NONE	NONE
Yes.... If you can't be there for us in our time of need, then don't expect free over the phone advice .... #SaveTheDoctors #EnoughIsEnough #DoctorsProtest #DoctorsFightBack #DoctorsUnderOppression #doctors_against_assualt https://t.co/TPfThErU9H	NOT	NONE	NONE
I genuinely can’t believe Nazanin still hasn’t been released. Even more unbelievable is that Boris Johnson could be our next PM. Our Government should hang their heads in shame. #FreeNazanin #BorisJohnsonShouldNotBePM https://t.co/T6aXIv8M14	HOF	HATE	TIN
Here's the truth about Boris Johnson and his history of sexism, racism, lies, homophobia, gaffes and scandals (all material fully sourced)  #Boris #BorisJohnson #BorisForPM #Boris4PM #BorisJohnsonShouldNotBePM   https://t.co/Re17a7VmYY	HOF	OFFN	TIN
@realDonaldTrump This is the report that your own people have not briefed you on because they don't trust you where Russia is involved. Your own insider's know you are compromised by russia. #TrumpIsADisgrace #TrumpIsATraitor #RussianAsset #PutinPuppet	HOF	OFFN	TIN
Oh, Dr Disrespect. Yet another ‘influencer’ that thinks fame means rules don’t apply to them. I hope Twitch bans him for life and not just a suspension. #twitch #DrDisrespect #dickhead	HOF	OFFN	TIN
#DhoniKeepsTheGlove, @BCCI ,@ICC . Why ICC is double standard. Allowing namaz on ground to Pak players, but not allowing @msdhoni to wear #BalidaanBadge gloves. Is @BCCI surrendering to @ICC . We condemn this act of ICC	HOF	HATE	TIN
@ICC @bcci @msdhoni #DhoniKeepsTheGlove If u can allow namaz on ground If u allow save gaza band If u allow salute on ground Then whats wrong in balidaan badge R u a fool icc or its clear u hv double standard u r not keeping ur words World doesn't need icc	HOF	HATE	TIN
#DhoniKeepsTheGlove Anything Abrahamic cricketing countries display on field = ok. #cricket journos and writers (including Indian) have high population of #Hinduphobic leftists. hypocrisy a clear indication of the #Hinduphobia to come.	HOF	HATE	TIN
This cop called for America to slaughter all ‘sodomite reprobates.’ They’re letting him ‘retire.’ #Resist #ResistTrump #FuckTrump https://t.co/2gu2um9WfK	HOF	HATE	TIN
#India request Doctors kindly  immediately call off the strike. Newborns are dying without their help #DoctorsProtest #DoctorsFightBack #DoctorsStrike	NOT	NONE	NONE
Read #borisjohnson's @Wikipedia page; from his disasterous tenure as Mayor of London, to his endorsement by the BNP, it tells you who he really is and his awful track record speaks for itself. #BorisJohnsonShouldNotBePM #notmypm https://t.co/FDNOgr9CyX	HOF	HATE	TIN
Can we do a FB party for those that have gotten screwed over? For everyone who ended up in Twitmo? Let’s get some followers back. #TrumpIsTheEnemyOfThePeople #TrumpIsADisgrace #TrumpIsAFraud #TrumpIsATraitor #TrumpIsAMoron Please RT and follow back! https://t.co/kfEpIJwnTH	NOT	NONE	NONE
@realDonaldTrump WRONG Stop with the lies you sick evil #DEMENTED #LyingTrump #PutinsPuppet #TRUMPcriminalIMPEACHMENT #TrumpCrimeFamily #locktrumpup Just resign you will never lie you way out of this. #TrumpIsATraitor	HOF	OFFN	TIN
@realDonaldTrump Well isn't that the pot calling the kettle ZERO CREDIBILITY 😂😂😂😂 Maybe if you didn't LIE ABOUT EVERYTHING you'd have an ounce of credibility but we all know you #TrumpIsATraitor and you will be leaving very soon. #TrumpDerangementSyndrome https://t.co/PhruMpZQyj	HOF	HATE	TIN
Dhoni should get rid of the gloves and remain away from any army insignia immediately, no room for overt display of patriotism on the cricket field, your Indian cap 🧢 should serve all the symbolism you wanted to indulge in #DhoniKeepsTheGlove #dhonigloves https://t.co/2GjjgLDzxK	HOF	HATE	TIN
King Joffrey: 47% Donald Trump: 41% #FuckTrump #Trump41	HOF	HATE	TIN
#ShameOnICC  Even local cricket tournament have better management &amp; planning than your's .   Thankyou for spoiling the worldcup. https://t.co/tfYxvOreN7	HOF	HATE	TIN
@GOPLeader Either you're unable to read, or you're as corrupt as the Felon-in-Chief is and are complicit in helping him to cover up crimes he's committed. #FuckTrump #TrumpCrimeFamily #ImpeachTrumpNow	HOF	HATE	TIN
@Reuters All countries who care about their safety and security should #BanHuawei. #Huawei is just a spying tool developed and extensively used by the Communist Party of China. #CommunismKills #BoycottChina #oppression	HOF	HATE	TIN
#DhoniKeepsTheGlove   He had a full rights because he is a Para Regiment Officer https://t.co/1PQwmOL2E4	NOT	NONE	NONE
@skroskz @shossy2 @JoeBiden Biden &amp; his son Hunter took advantage of their position to use Air Force 2 to wheel &amp; deal with China &amp; Ukraine! I don’t trust Biden or his son Hunter who left his wife &amp; kids to move in with his dead brother’s wife &amp; family! #DOUCHEBAG	HOF	HATE	TIN
@realDonaldTrump Of course you hate MSNBC because they tell the truth and the truth is that you are an incompetent buffoon without a shred of decency. You are a complete and absolute disaster. #IdiotTrump	HOF	OFFN	TIN
Why we need a #CongressMuktBharat https://t.co/4IPLhW5Q0w	NOT	NONE	NONE
@toughgal66 @MrsRabbitResist I am following you now- hoping to catch you swearing- lol-I swear a lot also #FUCKTRUMP!	HOF	OFFN	TIN
@waggytailkobe @Ex_Machina77 @JonnyBlze @realDonaldTrump @FoxNews Right..........#douchebag	NOT	NONE	NONE
Survival kit for next 5 years in India😁😁 @narendramodi @BJP4India  #3YearsofChange #RahulGandhi #ShameOnICC #TrollSangh https://t.co/dbY7lTtqbP	NOT	NONE	NONE
Watch and Share https://t.co/1lUKMt59A9 @RBReich The 7 Failures of Trumponomics #trumptax #TrumpIsATraitor	NOT	NONE	NONE
Salute to doctors who risk their very own lives but continue to serve their motherland 🙇‍♂️ #Savethedoctors #DoctorsFightBack #DoctorsProtest #SaveBengal https://t.co/zz3ugTioiZ	NOT	NONE	NONE
@ICC i think u do have some work rather than seeing on dhoni's gloves...if u don't have then i can suggest u to improve the quality of ur great umpires ..plz go and improve the quality bcz #DhoniKeSaathDesh   #DhoniKeepsTheGlove   #BalidanBadge	HOF	HATE	TIN
@cher YOU AND ME BOTH, GIRL. &lt;3 #FuckTrump	NOT	NONE	NONE
@ICC @Bazmccullum @PathakRidhima How can someone be happy without watching cricket... #ShameOnICC	NOT	NONE	NONE
Future #WC will be like... #ShameOnICC https://t.co/BNv2yIVgDJ	NOT	NONE	NONE
@BillKristol Fixed it 👍🏻👍🏼👍👍🏽👍🏾👍🏿 #NotMyPresident #FlagDay2019 #TrumpsAnInternationalDisgrace #TrumpIsATraitor #justsaynotomaga https://t.co/rIQjZznlqx	NOT	NONE	NONE
When a Doctor in West Bengal returns home safely   #we_want_justice  #DoctorsFightBack https://t.co/0vMZW3CC0e	NOT	NONE	NONE
#DoctorsFightBack also we want an apology from hon'ble CM bcoz she has insulted the entire doctor fraternity of india by giving communal anlge to this entire matter ..shame	NOT	NONE	NONE
Respected PM @narendramodi Ji Address the issue of #AssaultOnDoctors and speak on measures to #StopViolenceAgainstDoctors and #SaveTheDoctors . #DoctorsUnderOppression #DoctorsFightBack https://t.co/3dtQlrGefe	NOT	NONE	NONE
@ImRaina @msdhoni Well Said #DhoniKeepsTheGlove	NOT	NONE	NONE
Junior #Doctors Reject #MamataBanarjee Offer, Continue Strike: 10 Points https://t.co/erraUkn6lJ @ndtv #DoctorsFightBack #DoctorsUnderOppression #DoctorsProtest #BengalBurning #BengalDoctorsStrike #Bengal	NOT	NONE	NONE
@raj21415 We have ZERO interest in playing GOD, so please don't treat us either as a GOD or as a DOG! If you deserve respect, so do we, nothing more and nothing less...  #DoctorsFightBack	NOT	NONE	NONE
The big event of #WC19 is today #terroristNationPakistan  Vs lovely people of #Indians , hope #India win it InshaAllah	HOF	HATE	TIN
#DoctorsFightBack MLN medical college stands with NRSMCH. No services without security ✊ #DoctorsUnderOppression #DoctorsProtest @CBSNews @CNN @WHO https://t.co/ANbu5CvlfO	NOT	NONE	NONE
And finally Sunil Gavaskar hit a boundary but this time against media and its baseless debates. #DhoniKeepsTheGlove https://t.co/wWHis7nWzl	NOT	NONE	NONE
No matter how big a desert is...it weighs less than a handful of mud...that has given birth to a plant #SaveBengal #SaveTheDoctors #DoctorsFightBack #DoctorsProtest https://t.co/EL4hHqVEzJ	NOT	NONE	NONE
Welcome to Trumpworld #morintoon #TrumpIsATraitor #TrumpElections #TrumpCollusion #TrumpCriminalInvestigations #TrumpCrimeSyndicate #TrumpCult https://t.co/cKfoKj66cp	NOT	NONE	NONE
ICC Rules on Gloves Dear Indian Friends Read it Before any Comments #DhoniKeepsTheGlove #CWC2019 https://t.co/c6wTjUQkUr	NOT	NONE	NONE
Kedar Jadhav asking the clouds to go to Maharashtra... Let all the rains come to India... #ICCCricketWorldCup2019 #ICCWorldCup #ShameOnICC #INDvPAK https://t.co/gOQgRToVtl	NOT	NONE	NONE
@realDonaldTrump is corrupt and incompetent. He aligns himself with murderous dictators and trusts them over our own dedicated and hardworking intelligence officers. We must unite to remove him with a landslide election. He is a #disgrace #TrumpIsATraitor https://t.co/SX8XovljZo	HOF	OFFN	TIN
I'm just gonna leave this right here for you all... #FUCKTRUMP   https://t.co/fB1DUL2OwH	NOT	NONE	NONE
Junior doctors refuse to meet #Mamata at Nabanna. Wants CM to meet them and end the impasse. Doctors to continue with their strike. #DoctorsFightBack #IstandwithNRS #NRSMCH #SaveTheSaviour #SaveBengal https://t.co/QfC2Apk8pm	NOT	NONE	NONE
@dipaksamanta #BalidanBadge Equally important to Match #DhoniKeepsTheGlove	NOT	NONE	NONE
Shining Diva Italian Designer Non Precious Metal Jewellery Set @ Rs.398 https://t.co/yYoRiEnR4c More: https://t.co/7ZfoIvw94u https://t.co/yYoRiEnR4c #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	NONE	NONE
Translation- 'Even after continuous inaction by the govt against junior doctor's agitation we senior doctors are working because we are not enemy of the people'  A Pediatrician in Sagore Dutta Med Colg still working even after submitting resignation  #DoctorsFightBack  #SaveDoctors https://t.co/ZGn0DexhWx	NOT	NONE	NONE
@WhiteHouse Happy John McCain Day. #FuckTrump https://t.co/CjgyVVsGlV	NOT	NONE	NONE
Today's cartoon by me on #DhoniKeSaathDesh Kindly retweet,follow for more such cartoons everyday 😇 #DhoniKeepTheGlove #Dhoni #DhoniKeepsTheGlove #BalidanBadge #ICCWorldCup2019 #MSDhoni #keepthegloves #cartoon #IndiaStandsWithDhoni #India #SuperShowDown @virendersehwag #ICC https://t.co/C3doGAa7DU	NOT	NONE	NONE
Here are the rules If #DhoniKeepsTheGlove:    1 Game: He looses 25% of his match fee  2 Games: He looses 50% of his match fee  3 games or more: He looses 75% of his match fee      Dhoni is a Millionaire he can afford to loose some peanuts for the pride of the country.     #IndiaWithDhoni https://t.co/rbFH6evLKq	NOT	NONE	NONE
We are only demanding what already should be ours ! #DoctorsUnderOppression #DoctorsProtest #DoctorsFightBack #DoctorsStrike https://t.co/0YNvBUHqdM	NOT	NONE	NONE
India's bowling now..and every lunatic's eyes will be on Dhoni's gloves...Damn..#BalidanBadge insignia or not..who dafaq cares!!??#ICCWorldCup2019 #INDvAUS .. seriously..who cares if #DhoniKeepsTheGlove !?	NOT	NONE	NONE
Love it - just ordered mine    #BollockstoBrexit   #BollocksToBoris   #BorisJohnsonShouldNotBePM https://t.co/eKfGIh8M1p	NOT	NONE	NONE
Put a stick in this man's hand. Whether it be drum or pool or match or etc. He will murder something with it. #murderer #killer #maxthunder #angelicdesolation #pool #playingpool #poolhustler #thatboysgotthedevilinhim… https://t.co/LYJzsLlMTx	HOF	OFFN	TIN
Happy #JohnMcCainDay #fucktrump https://t.co/jR3yGUcgoK	NOT	NONE	NONE
@realDonaldTrump I'm sure that #CrossesAndHoods are all ready to welcome you at the airport too. #FuckTrump https://t.co/oJixzkyz9U	NOT	NONE	NONE
Did I just hear that right? Andrea Mitchell asked Anita Hill if she thought the way Joe Biden handled the Clarence Thomas hearings put him on a moral equivalence with Donald Trump. #WTAF #dickhead	NOT	NONE	NONE
Retweet if you think #DerangedDonnie @realDonaldTrump should stop blocking the design of the new $20 bill. (image via @nytimes). Trump proves he is a racist and a bigot. #TrumpTantrum #TrumpMustResign #TrumpIsATraitor https://t.co/vs8mCT278P	HOF	OFFN	TIN
#twinklesharma #rapist_must_hanged_till_death #rapist #justicefortwinkle #yqbaba @DrKumarVishwas @rahatindori Read my thoughts on YourQuote app at https://t.co/DcJagScNcQ https://t.co/JVbzEzTcQs	NOT	NONE	NONE
@ShashiTharoor Even after this you won't criticise #Mamta Govt. A mob of 200 people attacks an hospital beat the hell out of doctors, terrorizes the patients , hit an 22 yr old doc. So badly that his skull is broken &amp; he is in a state of coma. 1/2 #DoctorsFightBack #DoctorStrike	NOT	NONE	NONE
remember the Ind vs NZL T20 held on 7th Nov 2017 in Trivandrum, India in which the game started within half an hour after the heavy 5 hrs rain. What a pathetic condition for the stadiums in ENG even they are developed country. ICC has to be more vigilant. #ShameOnICC #ICCWC2019 https://t.co/vPdgFqhNmM	NOT	NONE	NONE
This is love #DoctorsStrike #SaveDoctors #strike #DoctorsStrike #Kolkata #DoctorsFightBack #WestBengal https://t.co/2UWSzulB0s	NOT	NONE	NONE
@anjanaomkashyap Mam.According to me instead of taking steps regarding Reservations,Green Environment..The government should take necessary steps regarding #Rape_cases in #INDIA..Its not The time of changing the girls dressing sense its about changing the #Rapist thoughts...✌✌	NOT	NONE	NONE
@The_OJSimpson32 JUICE IS STILL ON THE LOOSE #MURDERER https://t.co/yU9tvyYjNw	NOT	NONE	NONE
AIIMS Delhi doctor continues protest against Bengal violence wearing helmet in viral photo https://t.co/CbMlxmCv9f  #BengalBurning #DoctorsFightBack #Savethedoctors #SaveBengal	NOT	NONE	NONE
@NatureisScary #showingoff for a #girl works out #again #douchebag #swan is what does that to a pond #btw. They uproot vegetation. #paz n #love	NOT	NONE	NONE
#trump went from #NoCollusion to #ProCollusion #TrumpIsATraitor https://t.co/oFbwqeMW50	NOT	NONE	NONE
@next_china Again, #boycottChina #IPtheft #humanrightsviolations #CCPisevil	NOT	NONE	NONE
#SaturdayMotivation this video motivates me!!! Be brave !!!! Raise ur voice!!!! Protesting doctors applaud as more doctors resign and walk out of Medical College and Hospital, Kolkata #MamataLosingControl #BengalDoctorsStrike #DoctorsFightBack https://t.co/3BOUUJeqKO	NOT	NONE	NONE
Tree symbolizing Trump-Macron friendship dies #Resist #ResistTrump #FuckTrump https://t.co/hEHwwgowi3	NOT	NONE	NONE
#ShameOnICC 1. ICC on Dhoni's gloves. 2. ICC planing of other matches https://t.co/bjhysij4JF	NOT	NONE	NONE
Hello @ICC , You can stop @msdhoni from wearing army symbols in his gloves, but you can't stop his fans🇮🇳  #INDvAUS #WorldCup2019 #Dhoni #DhoniAtCWC19 #DhoniKeepsTheGlove #India https://t.co/5tNyl3i5fq	NOT	NONE	NONE
Wayyy past time for #DonTheCon to face #ImpeachmentHearingsNow. #TrumpIsAWannabeDictator, #TrumpIsATraitor, #TrumpIsACriminal, #TrumpIsAFraud, &amp; #TrumpObstructedJustice. What more do Dems need to #LockHimUp? https://t.co/bpB0xfQDaN	HOF	OFFN	TIN
Let's go congress, do your job! #PutinsGOP #FuckTrump https://t.co/tL1CqWz4H2	NOT	NONE	NONE
Great thread about WHY an #ImpeachmentInquiryNow is necessary. @SpeakerPelosi please read. #democracydependsonit #TrumpIsATraitor https://t.co/6bARkZyJR6	NOT	NONE	NONE
2023 Cricket World Cup https://t.co/iWFQBextAg via @@spozom #INDvAUS #cbhaveyoursay #iccversusindia #dhonikeepstheglove #msdhoni	NOT	NONE	NONE
Who is gonna win tomorrow?  #INDvsPAK  #IndvsPak rain  #ausvspak  #CWC19 #CWC  #RainStopsMatch #ICCCricketWorldCup #ICCWorldCup2019 #ShameOnICC	NOT	NONE	NONE
Whenever I hear #Airplane sound, I feel Airdrop is coming 🤔 #PUBGeffect #PUBG #PUBG_MOBILE #PUBGclips #PUBG_DMM #PUBGモバイル @PUBGMOBILE @PUBG @PUBGpartners @thetanmay @msdhoni @ImRo45 @MdShami11 @BhuviOfficial #IndiaWithDhoni #DhoniKeepTheGlove #DhoniKeepsTheGlove #Dhoni	NOT	NONE	NONE
How frightening #BorisJohnsonShouldNotBePM https://t.co/ee5mW9liQJ	NOT	NONE	NONE
Analysis: Sarah Sanders' audience of one #Resist #ResistTrump #FuckTrump https://t.co/WRUvaPGsG6	NOT	NONE	NONE
Happy birthday mr. President #FuckTrump https://t.co/E0UQW5Fesu	NOT	NONE	NONE
#DoctorsFightBack    75 year old Mohammad Shahid died in hospital, his relatives came truckload &amp; beat up doctors.     One doctor is critical as he got skull fracture from brick hurled.    Why no action against those people?  Why politicisation?  Where BJP/RSS is to be blamed? https://t.co/78EiYliTj9	NOT	NONE	NONE
Her freedom of speech is very important because she's his spokeswoman. Completely unethical!!!!! #TrumpIsATraitor #JohnMcCainDay #JohnMcCainDay #JohnMcCainDay #JohnMcCainDay #JohnMcCainDayJune14th https://t.co/Vbfndwo2nY	NOT	NONE	NONE
.#BorisJohnsonShouldNotBePM he won’t have had a national mandate only the conservatives get a say how is that democracy? https://t.co/fq6mi8Uxfy	NOT	NONE	NONE
#DoctorsFightBack | Here's the number of resignations from medical colleges as agitating doctors place 6 demands and seek an apology from WB CM Mamata Banerjee to end their strike    https://t.co/ROY0hXnQ8z	NOT	NONE	NONE
@RidemDoc @RickyRebelRocks I still feel the same. #FuckTrump	NOT	NONE	NONE
These depictions of Noah’s Ark are accidentally gay—and people are here for it #Resist #ResistTrump #FuckTrump https://t.co/n4Inw90fuc	NOT	NONE	NONE
water have no color but gloves does have that is why @ICC  saw dhoni's glove not the water.  #ShameOnICC	NOT	NONE	NONE
Stop violence on doctors. Take action to save the saviour @MamataOfficial @CMOWestBengal @MoHFW_INDIA #DoctorsFightBack #SAVETHESAVIOUR #Savethedoctors .	NOT	NONE	NONE
Yesterday match #AUSvWI Gayle got out by lbw in no ball..ICC @ICC Don't have time to fine umpires for poor umpiring. But they have time to say remove the balidan symbol from dhoni gloves😡😡 it's ridiculous 😡 #DhoniKeepsTheGlove https://t.co/8FMr3JHFqt	NOT	NONE	NONE
https://t.co/ZrtOAP86md I'm gonna go their own route and say all homophobic religious nuts should drink poisoned Kool-Aid. 🏳️‍🌈 #LGBTEquality #LGBTQ #FuckTrump	HOF	HATE	TIN
@PressSec @realDonaldTrump Good riddance and #FUCKTRUMP	NOT	NONE	NONE
Dear @narendramodi sir,   Please look into the current medical situation in West Bengal.Many of the innocent patients are losing their lives due to some adverse decisions by CM ... it is all her ego.. ....#SaveBengal #Savethedoctors   #DoctorsFightBack   #MamataLosingControl	NOT	NONE	NONE
@GOP @realDonaldTrump is a #traitor to #America!   #FuckTrump #TrumpMustResign #TrumpMustBeLockedUp #AmericansForImpeachment #TrumpIsATraitor #Treason https://t.co/kbaW8VjwKN	HOF	OFFN	TIN
.@FOXFOOTY “just let people sit there and watch the footy”??? Yeah, so we’ll ignore the behaviour the drove Goodesy out of the game just to make you feel more comfortable? #douchebag	NOT	NONE	NONE
Dear ICC, this is also a political symbol of your country, than what is it doing on England's jersey.. Why such hipocrisy?? #ShameonICC #NationWithDhoni https://t.co/5JQ3MKlX3R	NOT	NONE	NONE
Hey @BJP4India   Voted to use your power, not sit quite.  #Article356   No one is tweeting about #DoctorsFightBack #DoctorsStrike   Can't tolerate this dumb govt for next 5 years.	NOT	NONE	NONE
#GOPCorruption #GOPTraitors #GOPTreason #FuckTrump #FuckGOP #GOPSaleOut &amp; GOPSaleOut	NOT	NONE	NONE
Here is Yoga for Women... Read more... Remain Young and Fit with Yoga and know more benefits. #WorldBloodDonorDay #ShameOnICC #SaveBengal #FridayFeeling #SCOSummit2019 #MenInBlackReview #TheUnmissableMeeting #doctorsstrike #ENGvWI https://t.co/xdvyFE5fYj	NOT	NONE	NONE
@WIONews @KP24 Will Rain win the World Cup #ShameOnICC	NOT	NONE	NONE
4 matches were can't play due to rain and many more will be not played fir the same reason . Conclusion this world cup is no more world cup. #ShameOnICC #RainCup	NOT	NONE	NONE
Actual match scheduled of ICC worldcup 2019 and also ICC increased prize money because of rain playing extraordinary game   #ShameOnICC https://t.co/Gpv5Zp4Pek	NOT	NONE	NONE
#huckabeesdaughterlies #huckabeesdaughterlies.... your daughter lies so much you cant tell the difference betwern her and #trumpisatraitor https://t.co/oUUHNifisx	NOT	NONE	NONE
@DAZN_USA @EddieHearn @stephenasmith @Andy_destroyer1 Stephen is nothing but a complete clueless #douchebag	NOT	NONE	NONE
@nielslesniewski If you were his children, would you want to spend the day with him?  NOT.  #TrumpIsADisgrace   #TrumpIsAFraud   #TrumpIsAMoron   #TrumpIsATraitor   #TrumpIsCrazy	HOF	OFFN	TIN
@cher We love you Cher. #FuckTrump	NOT	NONE	NONE
#LoserTrump is firing his own pollsters, which show him running behind across the board. That, while he invites foreign powers to interfere with the #2020Election. #TrumpIsATraitor #TrumpIsTheEnemyOfThePeople #TrumpIsANationalSecurityThreat https://t.co/V6yvi9quHt	HOF	OFFN	TIN
Virat asked Indians fans to applaud Steve |MS dhoni sixes |gestures https://t.co/XgvTJTEoVb via @YouTube #ICCWC2019 #DhoniKeepsTheGlove	NOT	NONE	NONE
ICC turns down #BCCI's request to allow @msdhoni to continue wearing the army insignia on his wicket-keeping gloves; ICC says regulations for ICC events do not permit any individual message or logo to be displayed on any items of clothing or equipment. #DhoniKeepsTheGlove https://t.co/pm1WrtGKB2	NOT	NONE	NONE
Ok so the conclusion is: rules should be the same for all teams, we have seen Pakistani players do namaz on the field and English players having some nationalistic logo on their jersey.   #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh	NOT	NONE	NONE
@RudyGiuliani @realDonaldTrump Many people are saying that #DonTheCon #TrumpIsATraitor https://t.co/NcVbEApwlO https://t.co/SpxdqUYNO5	NOT	NONE	NONE
@ACTBrigitte well clutch my pearls... OMG you have feelings and support Trump? Sorry, I dont believe you! #TrumpIsATraitor	NOT	NONE	NONE
@cricketworldcup @ICC can see @msdhoni badge but doesn't see the ground was not covered. Most developed Country in 🌏 and call 🏏 as the national sports Yet can't do anything for the biggest tournament. Learn something from #EdenGarden #ShameOnICC #WorldCup2019 #iccraincup2019 #CricketKaCrown https://t.co/EifEy0e2NU	NOT	NONE	NONE
@DrShyamKK It is huge mistake of @narendramodi it is primary responsibility to save the truth not supporting protest it must be legally to take action for the doctor who resigned #DoctorsFightBack #doctors #standwithNRS	NOT	NONE	NONE
When keeping symbol on the glove shows the respect to them then why dont you Put a tatoo on your hand instead.This is a publicity stunt by @msdhoni #dhonikeepstheglove	NOT	NONE	NONE
@BillCosby They let you tweet from prison?!?!?  #Rapist	NOT	NONE	NONE
